date,time,period,lane,car_type,direction,target,
6/25/2019,7:20:23,07:30-08:30,e,1,-1,s,
6/25/2019,7:20:29,07:30-08:30,e,1,-1,s,
6/25/2019,7:20:34,07:30-08:30,e,1,-1,s,
6/25/2019,7:20:42,07:30-08:30,e,1,-1,s,
6/25/2019,7:20:46,07:30-08:30,e,2,0,w,
6/25/2019,7:20:48,07:30-08:30,e,2,0,w,
6/25/2019,7:20:51,07:30-08:30,e,1,0,w,
6/25/2019,7:20:53,07:30-08:30,e,2,-1,s,
6/25/2019,7:20:56,07:30-08:30,e,1,0,w,
6/25/2019,7:21:04,07:30-08:30,e,2,0,w,
6/25/2019,7:21:25,07:30-08:30,e,2,0,w,
6/25/2019,7:21:32,07:30-08:30,e,2,0,w,
6/25/2019,7:21:33,07:30-08:30,e,1,-1,s,
6/25/2019,7:21:36,07:30-08:30,e,1,-1,s,
6/25/2019,7:21:41,07:30-08:30,e,1,0,w,
6/25/2019,7:21:41,07:30-08:30,e,1,1,n,
6/25/2019,7:21:42,07:30-08:30,e,2,1,n,
6/25/2019,7:21:45,07:30-08:30,e,1,0,w,
6/25/2019,7:21:49,07:30-08:30,e,2,0,w,
6/25/2019,7:21:50,07:30-08:30,e,1,0,w,
6/25/2019,7:21:54,07:30-08:30,e,1,-1,s,
6/25/2019,7:21:54,07:30-08:30,e,1,0,w,
6/25/2019,7:21:56,07:30-08:30,e,1,-1,s,
6/25/2019,7:21:57,07:30-08:30,e,2,-1,s,
6/25/2019,7:22:01,07:30-08:30,e,2,-1,s,
6/25/2019,7:22:02,07:30-08:30,e,1,1,n,
6/25/2019,7:22:06,07:30-08:30,e,2,0,w,
6/25/2019,7:22:07,07:30-08:30,e,2,1,n,
6/25/2019,7:22:09,07:30-08:30,e,1,0,w,
6/25/2019,7:22:11,07:30-08:30,e,2,0,w,
6/25/2019,7:22:14,07:30-08:30,e,2,-1,s,
6/25/2019,7:22:15,07:30-08:30,e,1,1,n,
6/25/2019,7:22:15,07:30-08:30,e,1,-1,s,
6/25/2019,7:22:17,07:30-08:30,e,1,-1,s,
6/25/2019,7:22:18,07:30-08:30,e,2,0,w,
6/25/2019,7:22:19,07:30-08:30,e,1,1,n,
6/25/2019,7:22:19,07:30-08:30,e,1,0,w,
6/25/2019,7:22:28,07:30-08:30,e,2,0,w,
6/25/2019,7:22:40,07:30-08:30,e,2,0,w,
6/25/2019,7:22:49,07:30-08:30,e,2,0,w,
6/25/2019,7:22:51,07:30-08:30,e,1,1,n,
6/25/2019,7:23:04,07:30-08:30,e,2,0,w,
6/25/2019,7:23:04,07:30-08:30,e,2,1,n,
6/25/2019,7:23:16,07:30-08:30,e,1,1,n,
6/25/2019,7:23:18,07:30-08:30,e,1,-1,s,
6/25/2019,7:23:44,07:30-08:30,e,2,0,w,
6/25/2019,7:23:53,07:30-08:30,e,2,1,n,
6/25/2019,7:23:55,07:30-08:30,e,2,-1,s,
6/25/2019,7:23:59,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:01,07:30-08:30,e,2,-1,s,
6/25/2019,7:24:01,07:30-08:30,e,2,-1,s,
6/25/2019,7:24:06,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:09,07:30-08:30,e,2,-1,s,
6/25/2019,7:24:10,07:30-08:30,e,2,-1,s,
6/25/2019,7:24:17,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:20,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:21,07:30-08:30,e,1,0,w,
6/25/2019,7:24:21,07:30-08:30,e,1,1,n,
6/25/2019,7:24:23,07:30-08:30,e,2,0,w,
6/25/2019,7:24:24,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:28,07:30-08:30,e,1,-1,s,
6/25/2019,7:24:33,07:30-08:30,e,2,0,w,
6/25/2019,7:24:41,07:30-08:30,e,1,0,w,
6/25/2019,7:24:54,07:30-08:30,e,1,0,w,
6/25/2019,7:24:56,07:30-08:30,e,1,1,n,
6/25/2019,7:25:04,07:30-08:30,e,1,0,w,
6/25/2019,7:25:13,07:30-08:30,e,1,1,n,
6/25/2019,7:25:26,07:30-08:30,e,1,0,w,
6/25/2019,7:25:29,07:30-08:30,e,2,-1,s,
6/25/2019,7:25:30,07:30-08:30,e,2,0,w,
6/25/2019,7:25:31,07:30-08:30,e,1,1,n,
6/25/2019,7:25:34,07:30-08:30,e,1,0,w,
6/25/2019,7:25:38,07:30-08:30,e,2,1,n,
6/25/2019,7:25:42,07:30-08:30,e,1,0,w,
6/25/2019,7:26:03,07:30-08:30,e,2,0,w,
6/25/2019,7:26:21,07:30-08:30,e,2,0,w,
6/25/2019,7:26:29,07:30-08:30,e,1,1,n,
6/25/2019,7:26:32,07:30-08:30,e,2,1,n,
6/25/2019,7:26:35,07:30-08:30,e,2,0,w,
6/25/2019,7:26:37,07:30-08:30,e,1,0,w,
6/25/2019,7:26:39,07:30-08:30,e,1,1,n,
6/25/2019,7:26:40,07:30-08:30,e,2,0,w,
6/25/2019,7:26:43,07:30-08:30,e,1,-1,s,
6/25/2019,7:26:44,07:30-08:30,e,2,0,w,
6/25/2019,7:26:46,07:30-08:30,e,2,1,n,
6/25/2019,7:26:49,07:30-08:30,e,2,0,w,
6/25/2019,7:26:49,07:30-08:30,e,2,1,n,
6/25/2019,7:26:52,07:30-08:30,e,1,-1,s,
6/25/2019,7:26:57,07:30-08:30,e,2,-1,s,
6/25/2019,7:26:59,07:30-08:30,e,1,-1,s,
6/25/2019,7:27:17,07:30-08:30,e,2,-1,s,
6/25/2019,7:27:43,07:30-08:30,e,1,-1,s,
6/25/2019,7:27:52,07:30-08:30,e,2,-1,s,
6/25/2019,7:27:57,07:30-08:30,e,1,-1,s,
6/25/2019,7:27:59,07:30-08:30,e,2,-1,s,
6/25/2019,7:28:05,07:30-08:30,e,2,-1,s,
6/25/2019,7:28:06,07:30-08:30,e,2,0,w,
6/25/2019,7:28:07,07:30-08:30,e,1,1,n,
6/25/2019,7:28:08,07:30-08:30,e,1,0,w,
6/25/2019,7:28:10,07:30-08:30,e,1,0,w,
6/25/2019,7:28:14,07:30-08:30,e,1,1,n,
6/25/2019,7:28:30,07:30-08:30,e,1,0,w,
6/25/2019,7:28:34,07:30-08:30,e,1,1,n,
6/25/2019,7:28:46,07:30-08:30,e,2,0,w,
